t,acc_gal
0,-20.541
0.02,-10.198
0.04,12.48
0.06,0.831
0.08,-11.385
0.1,2.348
0.12,0.772
0.14,-2.575
0.16,-2.715
0.18,-1.435
0.2,-3.404
0.22,-9.306
0.24,10.711
0.26,0.109
0.28,-8.977
0.3,-0.495
0.32,10.054
0.34,-6.537
0.36,-10.167
0.38,2.486
0.4,4.442
0.42,3.554
0.44,0.283
0.46,1.666
0.48,-7.948
0.5,10.21
0.52,21.702
0.54,14.108
0.56,-10.063
0.58,-23.459
0.6,-6.739
0.62,4.025
0.64,16.853
0.66,11.604
0.68,-12.744
0.7,-4.642
0.72,7.074
0.74,6.683
0.76,-5.426
0.78,-3.598
0.8,3.896
0.82,-17.755
0.84,-33.425
0.86,-6.764
0.88,5.206
0.9,-0.322
0.92,3.644
0.94,-0.816
0.96,-13.996
0.98,6.224
1,16.627
1.02,-17.072
1.04,-4.124
1.06,22.965
1.08,-23.256
1.1,-33.035
1.12,36.794
1.14,16.307
1.16,-7.979
1.18,-34.729
1.2,18.142
1.22,43.163
1.24,3.443
1.26,-1.367
1.28,-24.944
1.3,48.668
1.32,55.759
1.34,57.189
1.36,-77.797
1.38,-40.833
1.4,48.452
1.42,12.797
1.44,-42.717
1.46,-46.59
1.48,-16.011
1.5,-24.842
1.52,50.769
1.54,28.59
1.56,54.568
1.58,-25.417
1.6,0.388
1.62,54.98
1.64,-11.404
1.66,0.974
1.68,-19.514
1.7,41.063
1.72,-75.981
1.74,-81.811
1.76,13.249
1.78,-3.671
1.8,13.327
1.82,51.187
1.84,52.621
1.86,-93.839
1.88,21.789
1.9,76.191
1.92,-24.599
1.94,-39.987
1.96,-56.709
1.98,49.369
2,-6.047
2.02,-52.891
2.04,-58.095
2.06,-17.234
2.08,18.536
2.1,32.07
2.12,-45.938
2.14,-98.418
2.16,52.976
2.18,79.171
2.2,10.551
2.22,-72.872
2.24,26.441
2.26,20.95
2.28,-42.004
2.3,-46.196
2.32,-6.165
2.34,-6.405
2.36,-15.501
2.38,2.655
2.4,10.615
2.42,-20.636
2.44,40.807
2.46,2.652
2.48,25.542
2.5,44.619
2.52,21.257
2.54,27.535
2.56,2.073
2.58,-32.275
2.6,-85.82
2.62,19.915
2.64,-41.081
2.66,18.396
2.68,-34.052
2.7,-53.909
2.72,70.904
2.74,137.99
2.76,141.025
2.78,79.366
2.8,131.877
2.82,155.654
2.84,106.562
2.86,88.843
2.88,133.118
2.9,115.534
2.92,90.753
2.94,31.431
2.96,-47.925
2.98,15.926
3,-8.031
3.02,34.784
3.04,78.089
3.06,59.949
3.08,81.344
3.1,84.812
3.12,57.455
3.14,6.827
3.16,-16.773
3.18,-54.346
3.2,-93.916
3.22,-188.135
3.24,-227.978
3.26,-240.584
3.28,-211.807
3.3,-164.723
3.32,-153.968
3.34,-34.798
3.36,275.312
3.38,287.192
3.4,66.531
3.42,-97.352
3.44,-115.698
3.46,-172.59
3.48,-62.8
3.5,125.706
3.52,106.079
3.54,138.811
3.56,36.936
3.58,-109.272
3.6,-142.593
3.62,-197.691
3.64,-230.107
3.66,-261.659
3.68,-273.847
3.7,-243.308
3.72,-283.523
3.74,-319.74
3.76,-218.955
3.78,59.777
3.8,159.96
3.82,150.813
3.84,212.954
3.86,256.287
3.88,309.911
3.9,403.904
3.92,433.616
3.94,364.528
3.96,251.066
3.98,87.933
4,-3.161
4.02,-71.731
4.04,-139.369
4.06,-250.686
4.08,-334.727
4.1,-343.401
4.12,-369.77
4.14,-410.389
4.16,-393.075
4.18,-310.066
4.2,140.415
4.22,426.023
4.24,351.683
4.26,410.435
4.28,431.475
4.3,409.552
4.32,348.095
4.34,248.902
4.36,24.89
4.38,-58.249
4.4,-54.419
4.42,-118.029
4.44,-199.094
4.46,-272.473
4.48,-307.798
4.5,-214.954
4.52,-129.3
4.54,-92.991
4.56,-13.671
4.58,43.241
4.6,16.921
4.62,-12.887
4.64,86.183
4.66,210.787
4.68,164.1
4.7,47.708
4.72,4.483
4.74,-52.298
4.76,-47.482
4.78,-107.504
4.8,-139.832
4.82,-147.419
4.84,-17.847
4.86,90.946
4.88,-102.722
4.9,-55.582
4.92,15.532
4.94,-38.671
4.96,-77.104
4.98,-128.505
5,-143.727
5.02,-124.578
5.04,-61.856
5.06,72.186
5.08,206.442
5.1,134.976
5.12,77.115
5.14,56.406
5.16,14.984
5.18,-70.175
5.2,-82.294
5.22,4.962
5.24,-39.639
5.26,-105.335
5.28,21.519
5.3,150.563
5.32,64.931
5.34,-18.7
5.36,1.326
5.38,45.618
5.4,128.889
5.42,128.166
5.44,86.495
5.46,43.628
5.48,-10.479
5.5,23.678
5.52,-4.13
5.54,-70.44
5.56,-42.321
5.58,-56.344
5.6,-105.874
5.62,-29.117
5.64,29.394
5.66,34.239
5.68,68.307
5.7,71.108
5.72,49.634
5.74,64.343
5.76,79.095
5.78,73.303
5.8,72.188
5.82,47.766
5.84,-28.866
5.86,-85.296
5.88,-90.399
5.9,-29.297
5.92,3.372
5.94,8.364
5.96,24.343
5.98,8.309
6,9.642
6.02,17.844
6.04,58.382
6.06,41.244
6.08,-12.453
6.1,-28.796
6.12,-2.382
6.14,19.739
6.16,-24.986
6.18,-34.591
6.2,0.12
6.22,-21.921
6.24,-53.077
6.26,-25.284
